,Quotes,Characters
0,Space It seems to go on and on forever But then you get to the end and the gorilla starts throwing barrels at you,Fry
1,And thats how you play the game,Fry
4,Michelle baby Where you going,Fry
6,I hate my life I hate my life I hate my life,Fry
8,Hello Pizza delivery for uh   Heres to another lousy millennium,Fry
20,My God Its the future My parents my coworkers my girlfriend Ill never see any of them again Yahoo,Fry
25,Cool Just like in Star Trek  Ow,Fry
26,Good afternoon sir  Name,Leela
28,Im Leela Now its New Years Eve so Id like to decide your fate quickly and get out of here,Leela
29,Can I ask you a question,Fry
30,As long as its not about my eye,Leela
36,Im an alien alright Now lets drop the subject,Leela
37,Cool an alien Has your race taken over the Earth,Fry
39,Wait a minute Is that blimp accurate,Fry
40,Yep Its December 31st 2999,Leela
42,Im sure this must be very upsetting for you,Leela
43,Yknow I guess it should be but actually Im glad I had nothing to live for in my old life I was broke I had a humiliating job and I was beginning to suspect my girlfriend might be cheating on me,Fry
44,Well at least here youll be treated with dignity Now strip naked and get on the probulator,Leela
45,Interesting Your DNA test shows one living relative Hes your greatgreatgreatgreatgreatgreatgreat,Leela
46,greatgreatgreatgreatgreat nephew,Leela
47,Thats great Whats the little guys name,Fry
48,Professor Hubert Farnsworth,Leela
50,Yknow Im the luckiest guy in the whole future Ive been given a second chance and this time Im not going to be a total loser  Whats that,Fry
51,Your permanent career assignment,Leela
52,Delivery boy No Not again Please Anything else,Fry
53,Take your hands off me Youve been assigned the job youre best at just like everyone else,Leela
57,Out of a cannon into the Sun,Leela
58,But I dont like being a delivery boy,Fry
59,Well thats tough Lots of people dont like their jobs but we do them anyway  You gotta do what you gotta do Now hold out your hand Im gonna implant your career chip Itll permanently label you as a delivery boy,Leela
60,Keep that thing away from me,Fry
61,Hold still dammit I dont have good depth perception  Youve got until the count of five to let me out of here One,Leela
62,See you in a thousand years  You owe me one,Fry
66,Cool  Um Cross Town Express,Fry
68,Hey A phone booth I can call my nephew  Wow A real live robot Or is that some kind of cheesy New Years costume,Fry
70,It doesnt look so shiny to me,Fry
74,Yeah Id like to place a collect call,Fry
85,Look hes just a nobody who doesnt want to be a delivery boy Id really rather not force it on him,Leela
87,Why would a robot need to drink,Fry
89,Really What do you do Bender,Fry
95,Wait Youre the only friend I have,Fry
97,Yeah ever since I was six,Fry
99,Oh no its the Cyclops  Dont look Dont look,Fry
101,This is officer 1BDI requesting backup,Leela
105,Spock Hey Hey Do the thing,Fry
107,This is unbelievable What do you heads do all day,Fry
110,Hmm  Im sorry Fry but I have to install your career chip,Leela
111,Yeah well if youre sorry why are you doing it,Fry
112,Its my job You gotta do what you gotta do  Watch it,Leela
114,Ow Stop it Down boy Bad president,Fry
117,Please officers theres no need to use force,Leela
119,Oh come on hes just a poor kid from the Stupid Ages,Leela
121,Noone makes fun of my nose,Leela
123,You guys were totally out of control,Leela
127,Wait a second Youre a bender right We can get out of here if you just bend the bars,Fry
129,Who cares what youre programmed for If someone programmed you to jump off a bridge would you do it,Fry
132,Cmon Bender Its up to you to make your own decisions in life Thats what separates people and robots from animals  and animal robots,Fry
134,Come on Bender You can do it,Fry
138,I dont know how you did that,Fry
144,Its my old neighbourhood Man this brings back a lot of memories,Fry
146,This is where I brought my girlfriend on our very first date,Fry
147,My God Shes gone Everyone I ever knew or cared about is gone,Fry
149,Oh cant you leave me alone Im miserable enough already,Fry
150,Look I know its not much consolation but I understand how you feel,Leela
151,No you dont Ive got no home no family,Fry
153,My whole world is gone You cant possibly understand what it feels like to be so alone,Fry
154,I understand Im the only oneeyed alien on this whole planet My parents abandoned me here as a baby and I dont even know what galaxy they were from I know how it feels to be alone,Leela
155,Look Leela I dont understand this world but you obviously do so I give up If you really think I should be a delivery boy Ill do it  Your chip What are you doing,Fry
158,Because Ive always wanted to I just never realised it before I met you,Leela
159,What is the matter with you,Fry
163,I dont wanna spoil the party but were all job deserters now Were unemployed and we have nowhere to go,Leela
167,Im your dear old Uncle Fry,Fry
174,Whoa A real live spaceship,Fry
180,Cant we get away in the ship,Leela
184,I can As long as I dont have to parallel park,Leela
186,Prepare for liftoff Ten,Leela
199,So I guess without jobs well be fugitives forever,Fry
203,Yes Yes Thats exactly the job Ive always wanted,Fry
204,Thanks for the offer Professor but we dont have the proper career chips,Leela
206,This is awesome Are we gonna fly through space fighting monsters and teaching alien women to lurve,Fry
208,Cool Whats my job gonna be,Fry
210,So Im gonna be a delivery boy,Fry
212,Alright Im a delivery boy,Fry
225,Are there really giant birds like that,Fry
227,Im never going to get used to the 31st century  Caffinated bacon Baconated grapefruit Admiral Crunch,Fry
228,Well if you dont like that try some Archduke Chocula,Leela
235,Death by airlock failure,Leela
237,Death by brain parasite,Leela
239,Death by sonic diarrhoea,Leela
241,Look I dont know about any of your previous captains but I intend to do as little dying as possible,Leela
251,Uh is there a human doctor around,Fry
259,Well the doctor says Im as healthy as a crab Can I go into space now,Fry
263,Hang on Amy Wong Of the Mars Wongs,Leela
265,Uhhuh What sorority do you belong to,Leela
269,Finally Come on Bender Lets mosey,Fry
271,So where are we going anyway,Fry
272,Nowhere special The moon,Leela
273,The moon The moon moon Wow Im gonna be a famous hero just like Neil Armstrong and those other brave guys no one ever heard of,Fry
275,Well  I guess so Just be careful Id like to hold off any major screwups until at least my second day as captain,Leela
278,Huh Oh sure Knock yourself out,Leela
281,Eightsevensixfivefourthreetwooneblastoff,Fry
282,Hurry up I wanna see the moon,Fry
284,Thats one small step for Fry,Fry
286,Wow  Um can I have cuts,Fry
288,Youre not gonna believe this but they landed an amusement park on the moon,Fry
291,Fry we have a crate to deliver,Leela
292,Lets just dump it in the sewer and say we delivered it,Fry
294,OK if everyones finished being stupid,Leela
295,I had more but you go ahead,Fry
296,Well deliver that crate like professionals and then well go home,Leela
297,But Ive never been to the moon before,Fry
298,Alright Well deliver that crate like professionals  and then well go ride the bumper cars  Amy why dont you help Fry hoist down the crate Then lock up when youre done Just be careful,Leela
305,My first space delivery,Fry
306,Uh greetings Moon Man We come in peace I am Fry from the planet Earth,Fry
315,Hey I got you guys refrigerator magnets,Fry
317,So you flip out and start acting like some crazy folk singer,Fry
328,I dont know This place is great and all but its just so artificial The gravity the air the gophers You might as well stay on Earth  Thats what I came to see I wanna go out there and jump around like an astronaut Screw this phoney stuff,Fry
329,But the phoney stuff is whats fun Its boring out there,Leela
331,Maybe I should take Fry on the Luna Rover ride You get to wear a space suit and drive around on the surface And the lines short because its educational,Leela
332,I dont care how educational it is Lets do it,Fry
334,Finally Get ready for some serious moon action,Fry
337,Wow I never realised the first astronauts were so fat,Leela
338,Thats not an astronaut its a TV comedian And he was just using space travel as a metaphor for beating his wife,Fry
351,And sing a whaling tune Were whalers on the moon,Leela
352,Thats not how it happened,Fry
353,Oh really I dont see you with a fungineering degree,Leela
354,This is stupid Im taking this thing out to the real moon,Fry
355,Fry no This is my first mission and Im not gonna let us get in any trouble Besides the cars on a track,Leela
358,OK youre on the surface Now Ill give you 10 minutes Then youll get bored turn around and apologise for being such a jerk Agreed,Leela
359,Agreed  Yeah Crank up the radio,Fry
362,Times up Make a Uturn at the next crater,Leela
363,No not yet How bout we go look for the original moon landing site,Fry
364,Thats crazy Its been lost for centuries,Leela
365,Well Im feelin lucky  Uh  Im ready to go back now,Fry
366,Were gonna die Its every man for himself  You did it Were safe,Fry
368,Its every man for himself,Fry
375,Im sorry Leela I cant go on any further Just leave me to die in that barn over there,Fry
378,No sir Were amusement park patrons,Fry
380,Our car broke down and were out of oxygen Can we borrow some,Leela
382,I guess we could do chores for a few hours,Fry
383,Fry night lasts two weeks on the moon,Leela
395,I told you to turn around and go back to the park But oh no the park was too phoney We had to see the real moon,Leela
396,And it was great We got to see craters and rocks and that one incredible rock that looked like a crater and  and these fellas,Fry
402,Oh Bender You didnt touch the Crushinator did you,Fry
407,Hang on Hang on Jump  Hold on to your helmet,Leela
410,Hey cool Dark side of the moon,Fry
411,Nightfalls coming  Hurry before we freeze,Leela
414,We cant outrun it forever,Leela
415,Over there Look Its the moon landing site We found it,Fry
417,Its that flag from MTV And Neil Armstrongs footprint  Hey My foots bigger Leela isnt this the greatest thing youve ever seen,Fry
418,Fry look around Its just a crummy plastic flag and a dead mans tracks in the dust  Now get in here before you freeze,Leela
420,Well if the oxygen holds out we might live long enough to starve to death,Leela
421,Look Leela Im sorry I never should have dragged you out here,Fry
422,Thats right you shouldnt have I still dont get what the big attraction is,Leela
423,I never told anybody this but a thousand years ago I used to look up at the moon and dream about being an astronaut I just didnt have the grades Nor the physical endurance Plus I threw up a lot and nobody liked spending a week with me,Fry
424,A week would be a little much,Leela
425,The moon was like this awesome romantic mysterious thing hanging up there in the sky where you could never reach it no matter how much you wanted to  But youre right Once youre actually here its just a big dull rock I guess I just wanted you to see it through my eyes the way I used to,Fry
426,Fry look  It really is beautiful I dont know why I never noticed before,Leela
429,Amy Whered she learn to operate the controls like that,Leela
434,So Fry was the real moon anything like the moon you used to dream about,Leela
439,Im sorry I was up really late poking through peoples desks,Fry
442,What the hell are you doing Youre getting a huge dose of radiation,Leela
444,Do you know how long its going to take me to recalibrate these engines,Leela
445,Hey When you look this good you dont have to know anything,Fry
446,Professor We need to talk to you about Fry,Leela
448,Hes a nice guy but we think its about time he got his own place,Leela
450,Hey Professor great jerky,Fry
454,Sheesh 40000 channels and only 150 have anything good on,Fry
459,Hmm must be a friend of theirs,Fry
461,Weve all talked it over and,Leela
463,Fry sometimes in close quarters people do inconsiderate things without realising it,Leela
464,I know but I forgive you,Fry
465,No Fry by close quarters I mean this office,Leela
467,And by people I mean you,Leela
469,And by inconsiderate I mean,Leela
