,Characters,Quotes
30,Elizabeth,"Yes, yes!\"
32,Elizabeth,"Oh, it?s beautiful!\"
34,Elizabeth,May I inquire as to the occasion?\
36,Elizabeth,The ceremony?\
38,Elizabeth,I knew it!\
40,Elizabeth,It?s difficult to say.\
42,Elizabeth,"Well, women in London must?ve learned not to breathe.\"
45,Will,"Good day, sir. I have your order. \"
47,Will,The blade is folded steel. That?s gold filigree laid into the handle. If I may. \
49,Will,I shall. A craftsman is always pleased to hear his work is appreciated.\
51,Elizabeth,Will! It?s so good to see you. I had a dream about you last night.\
52,Will,About me?\
54,Elizabeth,"About the day we met, do you remember?\"
55,Will,"How could I forget, Miss Swann&#160;?\"
56,Elizabeth,"Will, how many times must I ask you to call me Elizabeth&#160;?\"
57,Will,"At least once more, Miss Swann , as always.\"
59,Elizabeth,"Good day, Mr. Turner .\"
61,Will,Good day? &#160;? Elizabeth .\
64,Jack,What d?ye say to three shillings? and we forget the name?\
67,Jack,I?m terribly sorry. I
69,Jack,It?s a fine goal - to be sure -  but it seems to me that a?  makes this one
71,Jack,"I?ve heard of one, supposed to be very fast&#160;? nigh un-catchable?... the Black Pearl.\"
89,Jack,"I?m sorry, it?s just - it?s such a pretty boat."
91,Jack,"Smith. Or Smithy, if you like.\"
94,Jack,"Well, then, I confess, it is my intention to commandeer one of these ships, pick up a crew in Tortuga,  raid, pillage, plunder and otherwise pilfer my weasely black guts out!\"
98,Jack,"Unless, of course, he knew you wouldn?t believe the truth even if he told it to you.\"
99,Elizabeth,I can?t breathe.\
102,Jack,&#160;?and then they made me their chief.\
105,Jack,Will you be saving her then?\
107,Jack,\
109,Jack,Move! \
111,Jack,Clearly you?ve never been to Singapore .  Where did you get that?\
114,Elizabeth,"Yes, I?m fine.\"
116,Elizabeth,"Father! Commodore, do you really intend to kill my rescuer? \"
120,Jack,"Captain Jack Sparrow , if you please, sir.\"
122,Jack,I?m in the market as it were.\
126,Jack,But you have heard of me. \
127,Elizabeth,"Commodore, I really must protest.\"
129,Elizabeth,Pirate or not this man saved my life.\
131,Jack,Though it seems enough to condemn him.\
133,Jack,Finally. \
135,Jack,"I knew you?d warm up to me. Commodore Norrington, my effects, please, and my hat. Commodore! Elizabeth . It is Elizabeth isn?t it?\"
136,Elizabeth,It?s Miss Swann .\
137,Jack,"Miss Swann , if you?d be so kind. Come, come, dear. We don?t have all day. Now if you?d be very kind.  Easy on the goods, darling.\"
138,Elizabeth,You?re despicable.\
139,Jack,"Sticks and stones, love. I saved your life, you save mine, we?re square. Gentlemen, m?lady, you will always remember this as the day that you almost caught Captain Jack Sparrow&#160;! \"
144,Jack,\
145,Will,You're the one they're hunting. The pirate.\
146,Jack,You seem somewhat familiar. Have I threatened you before?\
147,Will,I make a point of avoiding familiarity with pirates.\
148,Jack,"Ah, well, then it would be a shame to put a black mark on your record. So, if you'll excuse me?  Do you think this wise, boy&#160;? crossing blades with a pirate?\"
149,Will,You threatened Miss Swann .\
150,Jack,Only a little. \
151,Will,I do! And I practice with them? three hours a day!\
152,Jack,"You need to find yourself a girl, mate! Or perhaps the reason you practice three hours a day is that you already found one and are otherwise incapable of wooing said strumpet. You're not a eunuch, are you? \"
153,Will,"I practice three hours a day so that when I meet a pirate, I can kill it!  You cheated!\"
154,Jack,Pirate!  Move away.\
155,Will,No.\
156,Jack,
157,Will,No! I
158,Jack,This shot is
165,Jack,"You can keep doing that forever, the dog is never going to move.\"
167,Elizabeth,"I suspected Commodore Norrington would propose but I must admit, I wasn?t entirely prepared for it.\"
169,Elizabeth,"Oh, yes, it was terrifying.\"
171,Elizabeth,It is a smart match. He?s a fine man; he?s what any woman should dream of marrying.\
173,Elizabeth,That is too bold.\
182,Jack,"No survivors? Then where do the stories come from, I wonder?\"
188,Elizabeth,What?\
190,Elizabeth,"They haven?t seen you. Hide, and the first chance you get, run to the fort. \"
197,Elizabeth,Parley!\
199,Elizabeth,"Parley. I invoke the right of parley. According to the Code of the brethren, set down by the pirates Morgan and Bartholomew , you have to take me to your Captain.\"
201,Elizabeth,If an adversary demands parley you can do them no harm until the parley is complete.\
204,Will,Goodbye.\
206,Elizabeth,Will.\
207,Will,\
210,Jack,\
214,Jack,"Worry about your own fortunes, gentlemen. The deepest circle of Hell is reserved for betrayers and mutineers.  So there is a curse. That?s interesting.\"
216,Jack,That?s very interesting.\
219,Elizabeth,I am here to negotiate&#160;? \
224,Elizabeth,"Captain Barbossa , I am here to negotiate the cessation of hostilities against Port Royal .\"
226,Elizabeth,I want you to leave and never come back.\
228,Elizabeth,Very well. I?ll drop it. \
230,Elizabeth,It?s what you?ve been searching for. I recognized the ship. I saw it eight years ago on the crossing from England .\
232,Elizabeth,"Fine. Well, I suppose if it is worthless then there?s no point in me keeping it. \"
234,Elizabeth,Elizabeth&#160;?Turner. I?m a maid in the Governor?s household.  \
238,Elizabeth,"I didn?t steal it, if that?s what you mean.\"
240,Elizabeth,\
242,Elizabeth,Wait! You have to take me to shore. According to the Code of the Order of the Brethren -\
245,Will,They?ve taken her. They?ve taken Elizabeth .\
247,Will,We
251,Will,Ask him where it is. Make a deal with him. He could lead us to it.\
253,Will,That?s
255,Will,You. Sparrow!\
256,Jack,Aye.\
257,Will,You are familiar with that ship&#160;? the Black Pearl?\
258,Jack,I?ve
259,Will,Where does it make berth?\
260,Jack,
261,Will,The ship?s real enough. Therefore its anchorage must be a real place. Where is it?\
262,Jack,Why ask
263,Will,Because you?re a pirate.\
264,Jack,And
265,Will,Never!  They took Miss Swann .\
266,Jack,"Oh, so it is that you?ve found a girl. I see. Well, if you?re intending to brave all, hasten to her rescue and so win fair lady?s heart you?ll have to do it alone, mate. I see"
267,Will,I can get you out of here.\
268,Jack,How?s that? The key?s run off.\
269,Will,I helped build these cells. These are half pin-barrel hinges.  With the right leverage and the proper application of strength? the door will lift free.\
270,Jack,What?s your name?\
271,Will,Will Turner .\
272,Jack,"That will be short for William , I imagine. Good, strong name. No doubt, named for your father, eh?\"
273,Will,Yes.\
274,Jack,"Uh-huh. Well, Mr. Turner , I?ve changed me mind. If you spring me from this cell I swear on pain of death I shall take you to the Black Pearl and your bonny lass. Do we have an accord?\"
275,Will,Agreed.\
276,Jack,Agreed. Get me out.\
277,Will,Hurry. Someone will have heard that.\
278,Jack,Not without my effects.\
280,Will,We?re going to steal the ship. That ship? \
281,Jack,"Commandeer. We?re going to commandeer that ship. Nautical term. One question about your business, boy, or there?s no use going. This girl&#160;? how far are you willing to go to save her?\"
282,Will,I?d die for her.\
283,Jack,"Oh, good. No worries, then.\"
284,Will,This is either madness or brilliance.\
285,Jack,It?s remarkable how often those two traits coincide.  Everyone stay calm! we are taking over the ship.\
286,Will,Aye! Avast! \
288,Jack,Son?I?m Captain Jack Sparrow. Savvy?\
292,Will,Here they come.\
